========================================================
  NAC Solution TCO Calculator Update
========================================================
Date: Thu May  1 08:10:49 PM CDT 2025
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/60/328b2baec57227d61088098b3b1a6376da6012': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/cf/e70ca1cde8406b4739c7f5796522698f96eaf7': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/cf/9616c4a6671026d27790a79dbf26732a5860fb': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/cf/c6affd0ab67ba717dfd79219fdf32716d07d0e': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/cf/dfd6c31aaa09f26d7493680c5bfbd45f6e4384': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/3f/ee69a3c95c455dc98eaf8426beecfc5d288b48': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/3f/57c8251aaa6c2c4579af6b4aa8734933418af1': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/3f/72dff29a69612c14eaec559e2a11bcced48b5b': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/3f/2688cb57ab8cf0c18c4d3057be5fb75198ed9a': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/3f/5d21165e7f6a5ed46e84227d91c8596c17fe88': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/3f/3c6aaf766d2662295a3c3b4a10d7281029afa4': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/10/a66602fe7b9d6e76b8663c258cdceaf95e421c': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/10/eb1c42c66a99eb02f308951184272ecc7db1c8': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/10/7a21159f1e1720b93a7c34d75e2a2ece7d8bc3': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/10/50872385c7f96b4f54d50ebc873b1031e2528c': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/10/a3ea4fe85f796663ddd6d676de1d5e2a38046c': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/92/5a70ecdb20a32b1354d28e39b5f306e1d700d2': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/92/b1da18c2790e47ea910cdc7dfaa4fe67c564f9': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/92/4a0f900ed84bb840fd6f989cea061f60a38d6b': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/92/3b8be2f14c65e78fd75a4fd34aba94fb733274': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/92/9c3736ca7aa99469bbe7abad73b02e1ccecca9': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/92/0e55b9c01222c280b7f629ab4c8aaac8a987f7': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/92/65236f288b7da2345b73a3bc290a6385d2b356': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/92/11ac55353317c9139c79e358815e78da765114': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/a8/1b91c65642f988ef0760f2c11a8a712422afef': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/a8/c004f3fa601ab5d5a201d76bc96a4c76263f18': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/a8/19dfa88c93da8357a6f7d452a05b49246732e2': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/a8/b5792663459549ac789e316dccb15819f816b5': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/a8/9b48e95dce0c6436fdc8fc026fb6900cd9983b': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/a8/9f60e68484ffa9439bf9db13587898a1511e1c': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/a8/a9b0559a329d2057e3d758bb48203369cd77d6': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/a8/177ef90ef1890716d3f58d82e7979c359b2e14': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/f6/1901daf250faa20327c1b8d201ce996da9a769': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/f6/f6d7d619f30bcdfc83f59fea45fce34bb425ee': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/f6/50e324df746aee34a05ffdbafbb980ef0186c4': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/f6/14df0614d49ab0292d16879cd5e03d1acc5f0f': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/f6/339509ba882e6ddb45e0de39bb59cd60b358aa': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/73/bb644457357506a25c4c441a02a4371af62fec': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/73/d11e75162d000048ebddaac8a68edb03394a5e': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/73/338eadb7db63c2e513024c7be963f227b5639d': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/73/16ac953e1faaacb1e07f888c720230d5474d4c': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/73/0276bd121df856ede4c51d6e7b63d071242487': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/62/df805823322b50d49c221a3e1a050a62c1608c': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/62/2b301941b95c7c756a5f8b98a3116b3a07b908': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/62/afa3a7425dc6a1eeafd1333afc15d429c5d10d': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/62/e08b16dfc2f6e83a9673fe018a8dce5c6d18ae': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/62/d6d237ff179b118746a64a34967f7ff4b5dff8': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/62/3fbc3f6b0c480fb0b3257fc666b1db827378bf': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/62/b973248561e1a45de11a05781d41ac540d3a65': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/62/ca6f16a59edd918b154f3c83fea23b4640bc86': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/62/da7e0d5974c5eca8984075b507125a85103faf': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/db/2ee8dc000fc69aead3ceee614cd573e9a6681d': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/db/4dd462c5c6b01df7b0bb75189ad88dc9f17e9a': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/db/d19a9b8360271bf5ebad3a03e6d1e9da357cf1': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/db/b77fb626d8cff9ec34ae484ea381833e6d7535': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/db/d10b4d2325e70767a9cdb419276aee2a87f12c': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/a7/fef1c133fdc6044c8e549933d333f190a13725': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/a7/c2bed94e53a7b57d0606781d5a275ae1ff0adc': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/a7/51424cdcdd37aab366b9ed966e1ed9651308f5': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/a7/04b59af3b40ad085e0fb32bbd78321bfb2ca2a': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/a7/516b8797b7b8787eb057031cf93c4b6645bd27': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/eb/bc42217989789d37d56ea5abb2eaf900ef145b': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/eb/ecd0a72478fc8eebf7c7a6c3e1b984b7de117d': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/eb/2ea3ddc9dc680bbbe47570f61e0241b1ba52ec': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/eb/869a6f046ba5da45f06fcecbb908ed65046f11': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/eb/024f5c51c925b5d3848177305b6173aa7762a9': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/29/f0ee2fd523c902d3f7bb317c37b1fd12e2323f': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/29/05ff0177dff27ee130cdef0486bae9ead72c7d': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/29/238b798d7d372d9e62518038d9cc6d8ae9e63e': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/29/2cb827153b6dd5483406bf937d78db8130fa0b': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/a6/5a31f474bcbce2365147e9ca2419884ee93914': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/a6/5c08c15a6e4c9c5500cbbb7a2b01327a5a8c4b': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/a6/b28f93c52d76723c47a9c4c1d9552656676713': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/a6/c9354f9cb12ae1f4119db8e5634311b4b619f3': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/a6/4cd11bae82cb8cd98d5adffcb9f2cf845a2140': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/a6/47e270945ed39dcefc9b16bc1562e96680aa19': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/37/36d74225ecba8266c3dc0cc8e71f6eec3fa626': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/37/5ee8ed41c31c3a64541edca5f7bdf3262f4710': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/37/5e126021af6f8f30ebee8fa4e9bd61d5d0be29': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/37/c7e1aa6cbd4effd94ee28bd7b0655756b80cea': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/37/9153f8a5139fa997c1f583d6d8b80647f21e0b': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/37/b11eac5e47d1cb657f8106cba8ef75955e8855': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/37/6bcad9336ad54b8a6da4a7c8db5988edc49bbc': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/55/d83ea2818ab5dfedbe96abbbcea078bc5a351d': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/55/e15e8f9f946994eb290258d7735de79356d546': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/55/0eeba720913af1f89c86e8befd7ee820fdbe58': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/55/5c7378585b3ff88ff84c072069a8bd80dde93d': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/55/a0626de4acb1b94f3e39a0b547bc2bdf6dcf95': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/55/62f00ed88c9b9c1ba622ef9c06a95b34d972c1': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/55/c3d29367a4216abea3dc5eaa48b59826da355b': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/55/593d62343483a91361d8e903fc9b4425cd8f47': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/55/cdc9533b581d8be5cf7a2f4284f76e5ab3ae50': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/55/b4e2c79fc6e720532b3f96252cc257a792f6d1': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/55/20512d11be77a761bf18c7c07da9db995abb52': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/20/fd044265882ca4c73c9c15fa83908b631ebe36': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/20/15cd25e6558ca057049b1df815fd0f0af4d3e3': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/20/b1ffeb2f97648e0faa7e022c98ed9e6a8e9a0d': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/20/44fe03646a725081f95460e4fca9a1ef59750f': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/20/1e859be230a5390ae41935c6f8d5f2ab1dbb5f': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/20/f19c4828509540a0fa707f91c1d1cc10892c2e': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/20/4a9e904b4ea5d092d53f9b9bb77301bfda559e': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/20/22a007ff7ac97ce51167903d116eec42bffd9a': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/20/6b1415c0d5261f9a8cd489f18073c1d7e6aa4a': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/33/9063bf445d8a3d541bfa89d214091edebb4b74': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/33/2de3f3ec4fbfcc818a867872bfb09a34208659': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/33/2b9da79b0847b38eb87b626d38f58bdd943e85': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/33/905f0fc92c406715fef234ba43605c95390b30': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/33/535a9219b75d58aaf9b20e627f4bbe54b37d5d': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/33/345ca3891e2e891ded6739f5d5a89c78bb4ae8': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/f1/82cac76b0bd0db443c5f268a39e3bc4a7fcd87': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/f1/4f32296a09f80ae9905fe5676f7536b00197c0': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/f1/767666aa37f0d185b9cd013d5f62e6a7da7ae3': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/f1/f3db0d6775e2a8c78d281a3fce99b5b597b6d4': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/f1/b880554aae3ac981c255f24b8a38ff7bed627e': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/f1/275350531d30ca6dd665cbb5fe78fc5e702948': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/f1/0e8cd22366d532cd5a5973a5b801419779e99b': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/f1/d2f8dc116fa196e6dbe77e25d4bd487beaff41': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/5c/c00ae7639c672839900c645f8b68ed43577483': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/5c/6dd3e800fac9fa7c2a25e745ac2f9e22092ce3': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/5c/4ea09c7a28537442d9d288ff3b48e75adf765d': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/5c/c12d0585a386018d3c486be5a841d8377d15db': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/5c/fdff9e446351e64fab46942535a67f012ebcc2': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/9f/add9848114aac93a3286df45bc432b9187757b': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/9f/827b4ac2fb6ca190697fa88bc4f09d575b998a': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/9f/ef51f1fa8d9bf8ef9e92ad2ce5742f009ab941': Permission denied
cp: cannot create regular file '/home/iamrad/Projects/github/UaXtXo/backups/20250501_201049/.git/objects/9f/e81a26d6ae34771be1c39c10bf29a3d3332bad': Permission denied
